"","NameType","PricePP","Type"
"337","Moofushi RED",NA,"RED"
"338","Moofushi RSB",250,"RSB"
"339","Moohini 2 RED",NA,"RED"
"340","Moon 2 RED",NA,"RED"
"341","Moonimaa LVB",144,"LVB"
"342","Moonimaa LVBDD",NA,"LVBDD"
"343","Moonimaa Tender",NA,"Tender"
"344","Mretti Dive Dhoni RDD",NA,"RDD"
"345","Munajaa LVBDD",NA,"LVBDD"
"346","Munajaa RDD",NA,"RDD"
"347","MV Maldives Princess LVB",350,"LVB"
"348","MV Orion LVB",370,"LVB"
"349","MV Orion LVBDD",NA,"LVBDD"
"350","MV Sea Queen LVB",226,"LVB"
"351","MV Sea Queen LVBDD",226,"LVBDD"
"352","MV Sea Spirit LVB",300,"LVB"
"353","NA LFV",NA,"LFV"
"354","NA LVB",NA,"LVB"
"355","NA LVBDD",340,"LVBDD"
"356","NA Other",NA,"Other"
"357","NA RDD",141,"RDD"
"358","NA RED",NA,"RED"
"359","NA RSB",150,"RSB"
"360","NA RSFB",NA,"RSFB"
"361","NA Tender",267,"Tender"
"362","Naalu RDD",NA,"RDD"
"363","Naazy LVB",NA,"LVB"
"364","Naazy LVBDD",NA,"LVBDD"
"365","Naazy RDD",NA,"RDD"
"366","Naazy RED",NA,"RED"
"367","Naduna RDD",NA,"RDD"
"368","Nafaa RED",NA,"RED"
"369","Nagad RDD",NA,"RDD"
"370","Nam fona RED",NA,"RED"
"371","Namoona RDD",141,"RDD"
"372","Namoona RED",141,"RED"
"373","Nanj LVB",NA,"LVB"
"374","Narushadu RED",NA,"RED"
"375","Nasaree LVBDD",NA,"LVBDD"
"376","Naseeb RDD",NA,"RDD"
"377","Naseeb RED",NA,"RED"
"378","Nasru LFV",NA,"LFV"
"379","Nasru RED",NA,"RED"
"380","Nauras RDD",NA,"RDD"
"381","Nautilus LVB",252,"LVB"
"382","Nautilus LVBDD",NA,"LVBDD"
"383","Navedha LVB",244,"LVB"
"384","Navigator RSB",NA,"RSB"
"385","Nayala LVBDD",244,"LVBDD"
