"","Date","TotalPrice","Guests","Weekday","Month","Season","Year","Day","Liveaboard","Resort","GuestLive","GuestResort","WSpeed"
"204",2013-11-28,47887.3966325661,270,"Thursday","November","High","2013",753,7,7,121,90,6.389117
"205",2013-12-02,71535.243286445,335,"Monday","December","High","2013",757,6,10,111,200,1.4172051
"206",2013-12-03,64167.2196078431,361,"Tuesday","December","High","2013",758,7,10,78,300,3.2969346
"207",2013-12-04,75248.4117647059,367,"Wednesday","December","High","2013",759,11,8,212,146,1.7932827
"208",2013-12-05,75008.564769821,456,"Thursday","December","High","2013",760,7,21,67,343,2.266215
"209",2013-12-08,25861.5294117647,117,"Sunday","December","High","2013",763,3,0,120,0,5.46072
"210",2013-12-09,6371.94117647059,30,"Monday","December","High","2013",764,2,1,23,10,5.5915127
"211",2013-12-10,61161.3010230179,335,"Tuesday","December","High","2013",765,7,5,184,150,5.9771137
"212",2013-12-11,74640.0507246377,361,"Wednesday","December","High","2013",766,9,10,191,185,7.2368484
"213",2013-12-12,49957.5984654731,274,"Thursday","December","High","2013",767,8,10,128,126,7.513748
"214",2013-12-16,49548.2136402387,305,"Monday","December","High","2013",771,4,5,111,151,4.869065
"215",2013-12-17,85152.9507246377,465,"Tuesday","December","High","2013",772,9,11,175,272,5.2475533
"216",2013-12-18,141653.575021313,743,"Wednesday","December","High","2013",773,11,17,303,429,5.639789
"217",2013-12-19,123469.297975277,644,"Thursday","December","High","2013",774,17,13,341,287,5.355688
"218",2013-12-22,20308.3913043478,139,"Sunday","December","High","2013",777,0,8,0,147,7.279576
"219",2013-12-23,75697.6665174766,439,"Monday","December","High","2013",778,11,11,162,265,9.469603
"220",2013-12-24,73115.5985507246,372,"Tuesday","December","High","2013",779,5,11,109,279,6.622402
"221",2013-12-25,65327.6289215686,367,"Wednesday","December","High","2013",780,6,12,71,253,6.9148912
"222",2013-12-26,102486.832949702,532,"Thursday","December","High","2013",781,21,11,306,233,6.5862265
"223",2013-12-30,91353.6501278772,542,"Monday","December","High","2013",785,10,14,110,407,5.6275187
"224",2013-12-31,88689.0561167945,469,"Tuesday","December","High","2013",786,16,13,254,244,6.845967
